estratopri,ur,coll1,sexo_std,ur_num,age_gender_clean,ed_clean,colocup4an_clean,etid_clean,cs1_num,cs5_num,cs7_num,infrax_clean,wc1_clean,wc2_clean,wc3_clean,trust_num,leg_num,l1_clean,just1_clean,resp1_clean,poley1_clean,poley2_clean,poley3_clean,pr1_clean,pr5_num,pet1_num,pet3_num,effec1_num,effec2_num,eff1_num,eff2_num,aoj21_clean,prot3_clean,colseg_clean,cp6_clean,cp13_clean,colcp8a_clean,pn4_clean,noncontacts_num,refusal_num,resp1_likert,just1_likert,poley1_likert,poley2_likert,poley3_likert
Orinoquía-Amazonía,Rural,,Hombre,0,Hombre adulto joven,11,Trabajando?,Blanca,5,7,4,Más de 30 minutos y hasta una hora,No,No,No,7,6,5,Frecuentemente,Frecuentemente,Rara vez,Rara vez,Nunca,Otra situación,5,5,1,6,6,3,5,Guerrillas,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,4.0,4.0,2.0,2.0,1.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto,14,Trabajando?,Blanca,4,3,5,Más de 30 minutos y hasta una hora,No,No,No,3,4,5,Algunas veces,Frecuentemente,Algunas veces,Rara vez,Rara vez,Otra situación,3,3,2,3,2,2,4,Guerrillas,No ha participado,Peor,Una vez a la semana,Nunca,Nunca,Insatisfecho(a),0,0,4.0,3.0,3.0,2.0,2.0
Orinoquía-Amazonía,Urbano,,Hombre,1,Hombre adulto,11,Trabajando?,Blanca,7,5,6,Más de 30 minutos y hasta una hora,No,No,No,6,6,6,Frecuentemente,Algunas veces,Rara vez,Rara vez,Nunca,5,5,4,3,4,6,1,5,Guerrillas,No ha participado,Peor,Una o dos veces al año,Una o dos veces al año,Nunca,Insatisfecho(a),0,0,3.0,4.0,2.0,2.0,1.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Mujer adulta joven,14,Está buscando trabajo activamente?,Blanca,4,4,2,Más de 1 hora y hasta 3 horas,No,No,No,3,3,6,Rara vez,Frecuentemente,Nunca,Nunca,Algunas veces,Otra situación,5,3,3,4,4,1,4,Delincuentes comunes,No ha participado,Peor,Una o dos veces al año,Nunca,Nunca,Insatisfecho(a),0,0,4.0,2.0,1.0,1.0,3.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Mujer adulta,6,Se dedica a los quehaceres de su hogar?,Otra,3,4,3,Más de 3 horas,No,No,No,3,5,5,Rara vez,Algunas veces,Rara vez,Rara vez,Rara vez,Prestada/cedida o compartida,3,4,4,4,5,4,4,Seguridad privada o celadores,No ha participado,Igual,Una vez a la semana,Nunca,Una vez a la semana,Insatisfecho(a),0,0,3.0,2.0,2.0,2.0,2.0
Pacífica,Urbano,,Hombre,1,Hombre adulto joven,16,Está buscando trabajo activamente?,Indígena,4,4,4,Más de 30 minutos y hasta una hora,No,No,No,3,3,Izquierda,Rara vez,Rara vez,Nunca,,,Prestada/cedida o compartida,6,3,5,1,2,1,5,Guerrillas,Sí ha participado,Igual,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,2.0,2.0,1.0,,
Pacífica,Urbano,,Hombre,1,Hombre adulto mayor,11,Está buscando trabajo activamente?,Mestiza,7,5,4,Más de 30 minutos y hasta una hora,No,No,No,2,4,2,Algunas veces,Frecuentemente,Rara vez,Rara vez,Rara vez,Otra situación,4,7,7,2,3,3,3,Guerrillas,No ha participado,Igual,Una vez a la semana,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,4.0,3.0,2.0,2.0,2.0
Pacífica,Urbano,,Mujer,1,Mujer adulta joven,,Está buscando trabajo activamente?,Blanca,4,1,1,Más de 1 hora y hasta 3 horas,Sí,No,No,2,5,8,Nunca,Rara vez,Nunca,Siempre,Frecuentemente,Otra situación,3,5,7,1,3,1,4,Guerrillas,No ha participado,Igual,Una vez a la semana,Una o dos veces al año,Nunca,Satisfecho(a),0,0,2.0,1.0,1.0,5.0,4.0
Pacífica,Rural,,Hombre,0,Mujer adulta mayor,5,Se dedica a los quehaceres de su hogar?,Mestiza,4,3,4,[No Leer] No hay Policía/ No llegaría nunca,No,No,No,5,5,2,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Prestada/cedida o compartida,4,4,6,1,2,1,4,Guerrillas,No ha participado,Peor,Una vez a la semana,Nunca,Nunca,Insatisfecho(a),0,0,3.0,4.0,3.0,3.0,3.0
Pacífica,Urbano,,Hombre,1,Mujer adulta joven,9,Se dedica a los quehaceres de su hogar?,Otra,3,4,4,Más de 3 horas,No,No,No,7,5,Izquierda,Siempre,Siempre,Frecuentemente,Nunca,Siempre,6,7,2,3,6,5,3,4,Guerrillas,No ha participado,Peor,Nunca,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,5.0,5.0,4.0,1.0,5.0
Pacífica,Urbano,,Hombre,1,Mujer adulta joven,16,Es estudiante?,Indígena,5,2,2,Entre 10 y hasta 30 minutos,No,No,No,4,2,2,Algunas veces,Algunas veces,Nunca,Rara vez,Rara vez,Alquilada,1,,,1,2,3,4,Guerrillas,No ha participado,Peor,Nunca,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,3.0,3.0,1.0,2.0,2.0
